,count,mean,std,min,25%,50%,75%,max
Age_years,80.0,6.246693230644249,1.4467237160186637,3.0,5.473598133023794,6.150369861083705,6.906035967265603,10.33061432570226
Illness_Duration_days,80.0,5.542857794822502,1.9016269044002576,2.0,4.164485968400056,5.474245730362762,6.66738876623434,11.13726724515236
Weight_kg,80.0,23.382987392019903,5.827154267078313,10.0,19.903205005245603,23.044447944230782,27.482068766462717,36.93334348194583
Temperature_C,80.0,39.381071179641765,0.39002836718313166,38.48563018236987,39.1069059565731,39.3419247209292,39.61256697417235,40.4
Heart_Rate_bpm,80.0,123.72324939675063,16.579598818003326,90.0,111.7219813354866,125.7555297180788,135.07116325798685,165.0
Resp_Rate_bpm,80.0,30.8450573989114,6.088586222417784,16.0,27.189146303712235,30.681532621218032,35.39124741884487,42.19789335706143
Clinical_VAS_0_10,80.0,5.781887376379639,1.5345627382877904,2.369058406770399,4.803276568272911,5.882533387711442,6.715088626034844,9.12436549410615
Vulvar_Discharge_VAS_0_3,80.0,1.7380172134310439,0.5863280798721783,0.4993316692293066,1.3287341247629045,1.718181440524096,2.1682996616912846,3.0
TLC_per_uL,80.0,19.066619503841952,4.481863585324193,9.226599626063376,15.3833998049999,19.612839216000353,21.851392261153258,30.73498297153456
Neutrophils_per_uL,80.0,15.312089055690285,4.428258516177624,6.115306970696086,12.146050487023626,15.0434205339595,17.57519210980206,25.95809813079692
BUN_mg_dL,80.0,23.850474532466514,5.953121884071937,10.0,21.230226228546428,23.722273679152345,26.9283623773947,41.13643829792898
Creatinine_mg_dL,80.0,1.0318374986521035,0.2605202888455482,0.45,0.8582938770307781,1.0392379016335749,1.1654841372039932,1.845660767885065
ALP_U_L,80.0,314.87144804705514,83.13142755299413,100.0,272.15998736684406,314.742201709544,355.752628353515,550.9829744334161
ALT_U_L,80.0,82.25378732535629,20.86299570962897,30.0,71.60326524750768,80.59511472315987,94.83971272185443,133.2836343342526
Total_Protein_g_dL,80.0,6.660310750921549,0.301070675280649,5.869044800461412,6.487719262603385,6.63995700237318,6.858309264830474,7.328643937201353
Albumin_g_dL,80.0,2.6936499389857502,0.25730359509983053,2.041786994206293,2.5137077221484594,2.671828410706773,2.8488776118481387,3.288108808850088
Globulin_g_dL,80.0,3.9666608119357987,0.3789475352877992,3.2720968561237,3.7540585591141578,3.8804192217893605,4.180834266631711,5.178933974603472
Uterine_Diameter_mm,80.0,17.536563298262458,3.974115009795297,10.0,15.144987160889627,17.228973949494147,20.583278003555147,25.29957225134791
Progesterone_ng_mL,80.0,11.666218554392916,4.351000464970164,2.5,8.866774497817218,11.25914063562644,14.382790761903525,22.85082294396333
