Animal_ID,Group,Temperature_C,Heart_Rate_bpm,Resp_Rate_bpm,Clinical_VAS_0_10,Vulvar_Discharge_VAS_0_3,TLC_per_uL,Neutrophils_per_uL,BUN_mg_dL,Creatinine_mg_dL,ALP_U_L,ALT_U_L,Total_Protein_g_dL,Albumin_g_dL,Globulin_g_dL,Uterine_Diameter_mm,Progesterone_ng_mL,Age_years,Illness_Duration_days,Weight_kg,Hypoalbuminemia_flag,Leukocytosis_flag,Azotemia_flag,Severe_Inflammation_flag,High_Clinical_Severity_flag,Treatment_Success_D14,Medical_Failure_D14,Rescue_OHE,Death,Days_to_Resolution,Recurrence_6mo,Pregnancy,Next_Estrus_days,Litter_Size
PY001,G4_OHE,38.70484742226525,141.359410445384,18.29819658494952,5.769964734541407,1.123554317406004,20.93106859117735,15.00387680490574,34.29012180582745,1.49953660743787,392.834369733266,121.605976324205,7.012400749148219,2.106066307089918,4.9063344420583,16.93066975589267,14.6900838004396,5.773489714869275,11.13726724515236,27.47755719621748,1,0,1,0,0,1,0,0,0,5.688460424687499,0,,,
PY002,G3_Aglepristone_PGF2a,39.1018955038094,127.6837072030835,29.35731886423888,5.418787194023777,1.677726240648231,19.6275482686588,17.25983190478082,21.96640504430303,1.044594520722002,363.1555669165184,94.62629106909057,6.727309922119995,2.975259950989577,3.752049971130418,17.6340591200043,22.85082294396333,4.405923812875951,6.354802621818341,25.19046375602235,0,0,0,0,0,1,0,0,0,3.577240330711659,0,1.0,126.0,7.0
PY003,G3_Aglepristone_PGF2a,39.81294202980403,114.2914788731378,28.18450482712412,6.516485310649143,2.171170663406255,27.48922289021737,12.60231793554059,16.29627807542077,1.144088914470035,347.6942557034553,96.8069530019805,6.967813469145087,3.288108808850088,3.679704660294999,12.83014099391487,11.50681978799222,5.054552745622322,6.482515010205108,27.26466208626488,0,1,0,0,0,1,0,0,0,5.995473626960187,0,0.0,129.0,
PY004,G4_OHE,39.27407977697021,137.0511707217738,31.13510869054357,5.759268919266265,1.809904272418255,26.95624298836399,22.63393166066091,19.01333297350557,0.9553480864216337,236.8765174361569,55.55718991914667,6.405838308185644,2.999674469398295,3.40616383878735,13.53515386229261,7.864079323998143,6.197192777951672,5.244211494326651,23.07478061663159,0,1,0,1,0,1,0,0,0,3.701538693068458,0,,,
PY005,G1_Supportive,40.31867115186676,109.0410622277493,32.76461636781914,5.868725533322762,1.190903364164615,28.2335167274598,15.17568638917267,22.39797592402729,1.171126405508926,335.9071597684675,92.91138164867229,6.788614560496931,2.355421666904886,4.433192893592045,23.59004987774022,7.268189921703341,8.527780286313943,7.218885032519109,26.99037919195782,1,1,0,0,0,0,1,1,0,5.351310693630618,0,,,
PY006,G1_Supportive,39.15962131832224,98.36109376906023,41.726574635036,4.714217155889436,1.25678998014578,21.83974216938005,21.8276012212124,21.77056862952667,0.8606129979166881,285.129095119986,68.38859987316673,6.978742106581969,3.150844093648627,3.827898012933341,13.83084612343231,12.49557069522582,8.537858915968092,2.0,23.86061111807642,0,0,0,0,0,1,0,0,0,5.203884032233041,0,1.0,112.0,5.0
PY007,G1_Supportive,39.17031258753805,140.6579728022041,20.58979474339483,6.71354851023646,2.17102179065695,21.3879907212217,9.060707725995705,17.35548349977945,0.7677232597373936,363.1313042318241,48.74938490718363,6.572376248875949,2.884068745601536,3.688307503274413,14.54224182809469,10.4251845835934,7.040277969449145,4.784012966785295,14.90696730413743,0,0,0,0,0,1,0,0,0,5.83602600058039,0,0.0,122.0,
PY008,G4_OHE,39.45370410076395,102.7635991280281,33.96121010222671,5.754036695579003,1.645016466231594,21.14595557799795,22.88915368733844,24.30884463056426,1.106230110649274,316.9471119834978,79.34521274699489,7.128372743548891,2.405444569246372,4.72292817430252,17.71042011316204,12.68624170458554,5.292217886734934,5.825819102114134,22.02711223421357,1,0,0,0,0,1,0,0,0,5.007268882857931,0,,,
PY009,G4_OHE,39.29839213527677,165.0,36.46920036413682,4.312313527436246,2.28647036484707,24.77146123631362,16.79116681787046,26.66929054134348,0.9486541647746238,163.5636866597263,88.04703144663112,6.503597279618452,2.669065575541071,3.834531704077381,13.72096519396923,15.18471771269004,6.088980834285848,7.354207198077942,30.41453119769275,0,1,0,0,0,1,0,0,0,5.241522328497972,0,,,
PY010,G2_PGF2a,38.73284574325692,124.229845872663,34.61042029939335,9.12436549410615,0.7704237383057053,16.06019765768012,8.445354594951981,36.34891133930402,1.55367945445073,482.9637550103657,133.2836343342526,7.328643937201353,2.149709962597881,5.178933974603472,22.28547358548184,10.29998239660719,7.510244788055379,7.491904349602535,15.22785338352228,1,0,1,0,1,0,1,1,0,6.150852516836749,0,,,
PY011,G1_Supportive,39.60314343377194,105.4624192569749,29.11599124341201,4.052706566256331,1.585479164584123,13.16069760173533,15.02678594438714,24.18691078609318,1.179133545779685,328.1843396804442,80.71488785395145,6.592282362430024,2.370581052048457,4.221701310381567,25.29957225134791,13.72270757256489,6.742121025083041,4.837326088686968,16.35779642764554,1,0,0,0,0,0,1,0,0,,0,,,
PY012,G1_Supportive,38.84401825786436,145.7476828892515,36.69409229421063,8.087397897212737,2.050349383029126,22.40764053066055,18.62434577802236,26.76631774340134,1.271786313365542,341.0146080271044,95.88170926405651,6.856986934522242,2.657654693410522,4.19933224111172,11.95028474061895,8.365234742257549,7.2318422021639,2.294295047556284,31.44388701092021,0,1,1,1,1,0,1,0,0,,0,,,
PY013,G4_OHE,38.48563018236987,90.0,37.1868141628765,5.180284496877441,0.8794808360523518,24.09416301040691,21.48496156485399,24.98404769292901,1.033478115579227,344.3556287564284,76.34522090614546,6.400368230718112,2.576989334332229,3.823378896385884,10.0,10.77323085754889,7.279741021409738,8.362413852807917,27.20164439230117,0,1,0,1,0,1,0,0,0,4.793581881900556,0,,,
